exam1,exam2,exam3,exam4,exam5,exam6,exam7,exam8,exam9,exam10
0275,0284,0296,0298,1254,1867,no_exam,no_exam,no_exam,no_exam
1815,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0041,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0575,1014,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0679,1532,1641,1642,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1295,1949,2155,2156,2157,2316,no_exam,no_exam,no_exam,no_exam
0395,0573,1396,2319,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1628,1633,1636,1841,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0516,1209,1527,2250,2329,no_exam,no_exam,no_exam,no_exam,no_exam
0381,0423,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0389,0503,0637,1673,2249,no_exam,no_exam,no_exam,no_exam,no_exam
0258,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1790,1792,1798,1810,2261,no_exam,no_exam,no_exam,no_exam,no_exam
1438,2197,2199,2200,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0105,0637,1112,1461,2023,no_exam,no_exam,no_exam,no_exam,no_exam
0247,0452,0453,0460,0461,no_exam,no_exam,no_exam,no_exam,no_exam
1453,1930,2324,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0872,1034,1353,1687,1979,no_exam,no_exam,no_exam,no_exam,no_exam
1527,1710,1798,2106,2322,2329,no_exam,no_exam,no_exam,no_exam
0915,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0386,0575,1395,1677,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1646,1655,1712,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1161,1923,1927,2106,2245,no_exam,no_exam,no_exam,no_exam,no_exam
0427,0441,0442,0453,0455,no_exam,no_exam,no_exam,no_exam,no_exam
0841,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0194,0385,0503,0870,2034,2036,no_exam,no_exam,no_exam,no_exam
0461,0481,0485,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0748,1089,1675,2283,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0247,0249,0637,1963,2187,no_exam,no_exam,no_exam,no_exam,no_exam
0076,0542,0544,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1372,1373,2248,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1168,1910,1918,1919,1924,no_exam,no_exam,no_exam,no_exam,no_exam
0487,0494,0495,0840,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1933,2327,2402,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1405,1678,2247,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0391,0663,1208,1673,2249,no_exam,no_exam,no_exam,no_exam,no_exam
0384,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0385,0395,1686,2249,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1611,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0031,0836,0847,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1172,1200,2079,2091,2250,no_exam,no_exam,no_exam,no_exam,no_exam
0575,1705,1994,2099,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0427,0459,0460,0461,1495,1627,no_exam,no_exam,no_exam,no_exam
0382,0594,1450,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0305,0308,1794,1898,2090,2303,no_exam,no_exam,no_exam,no_exam
1649,1653,1714,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1828,1905,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0047,0070,1078,1349,2357,no_exam,no_exam,no_exam,no_exam,no_exam
0426,0438,0439,1687,1986,no_exam,no_exam,no_exam,no_exam,no_exam
0305,0308,1232,1802,1805,2320,no_exam,no_exam,no_exam,no_exam
0386,0575,1045,1686,2400,no_exam,no_exam,no_exam,no_exam,no_exam
0574,1006,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0629,1589,1779,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0512,1465,1701,1703,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1501,1505,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0575,0637,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0091,0109,0771,2069,2206,2398,no_exam,no_exam,no_exam,no_exam
1226,1471,2178,2180,2210,no_exam,no_exam,no_exam,no_exam,no_exam
0267,0275,0637,1983,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0637,0654,1359,1460,1945,no_exam,no_exam,no_exam,no_exam,no_exam
0043,0261,1093,1675,2067,no_exam,no_exam,no_exam,no_exam,no_exam
0719,2367,2371,2372,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0477,0492,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0258,0978,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1190,1359,1951,2316,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0376,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0574,0637,1678,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0153,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0209,0310,0395,2036,2325,no_exam,no_exam,no_exam,no_exam,no_exam
1682,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1973,1974,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
2117,2135,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0261,0637,1096,1675,1786,no_exam,no_exam,no_exam,no_exam,no_exam
0516,2003,2014,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1652,1721,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0103,0873,0874,1786,1794,no_exam,no_exam,no_exam,no_exam,no_exam
1652,1720,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0261,0642,1115,1675,2068,no_exam,no_exam,no_exam,no_exam,no_exam
0806,0873,1535,1551,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0637,0806,1680,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0214,0216,0219,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0891,0896,0898,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0402,0409,0416,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1031,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0310,0311,1698,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0354,0675,0993,1983,2345,no_exam,no_exam,no_exam,no_exam,no_exam
0575,0637,1678,1830,1979,no_exam,no_exam,no_exam,no_exam,no_exam
1451,2221,2229,2232,2233,no_exam,no_exam,no_exam,no_exam,no_exam
0873,1524,1530,1678,1786,no_exam,no_exam,no_exam,no_exam,no_exam
0642,0677,1794,2259,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0872,1787,2318,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1213,1846,1850,1851,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0948,0966,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0261,1081,1465,1675,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0637,1760,1762,1763,2345,no_exam,no_exam,no_exam,no_exam,no_exam
1595,1598,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1269,1280,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0265,0269,1075,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0386,0574,0637,1677,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0575,0637,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0348,1393,1603,1671,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1793,1806,1900,2250,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0246,0348,2083,2091,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0153,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0253,1359,1957,2045,2210,no_exam,no_exam,no_exam,no_exam,no_exam
0267,0273,0274,1983,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0261,0872,1685,1786,2068,no_exam,no_exam,no_exam,no_exam,no_exam
0258,1549,1550,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1212,1327,1483,1485,1493,no_exam,no_exam,no_exam,no_exam,no_exam
0575,0637,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1500,1502,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0505,0872,1087,2248,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1813,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0640,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0395,0420,1322,1323,2319,no_exam,no_exam,no_exam,no_exam,no_exam
0096,0793,2393,2398,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0846,1720,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0574,1049,1472,1677,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0574,0637,1677,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0677,0872,1471,1686,2090,2098,no_exam,no_exam,no_exam,no_exam
0641,1667,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0908,0950,1732,1987,2084,no_exam,no_exam,no_exam,no_exam,no_exam
1265,1266,1267,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0433,0448,0449,0451,0454,0458,2247,no_exam,no_exam,no_exam
0267,0273,0274,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1794,2171,2173,2179,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0775,0776,0782,0790,1445,no_exam,no_exam,no_exam,no_exam,no_exam
0380,0406,1958,1985,2325,no_exam,no_exam,no_exam,no_exam,no_exam
0103,1178,2074,2079,2097,no_exam,no_exam,no_exam,no_exam,no_exam
0106,0652,0684,0722,1383,1603,1604,1952,1990,no_exam
0500,0501,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0847,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0246,0755,1683,1758,1761,no_exam,no_exam,no_exam,no_exam,no_exam
1792,1799,1807,1900,1951,no_exam,no_exam,no_exam,no_exam,no_exam
0558,0560,0563,0875,1842,2326,no_exam,no_exam,no_exam,no_exam
0683,0722,1947,2028,2031,2034,no_exam,no_exam,no_exam,no_exam
1538,1675,2155,2296,2306,no_exam,no_exam,no_exam,no_exam,no_exam
1297,1882,1883,2099,2403,no_exam,no_exam,no_exam,no_exam,no_exam
0332,0334,0339,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0933,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0574,1482,1927,1956,2070,no_exam,no_exam,no_exam,no_exam,no_exam
0446,0575,1627,1688,1986,no_exam,no_exam,no_exam,no_exam,no_exam
0383,0384,1756,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0637,0872,1399,1685,1787,no_exam,no_exam,no_exam,no_exam,no_exam
0507,0575,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0056,0095,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0596,1527,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0782,0784,1236,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0541,0573,1675,1786,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1727,1729,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0387,0574,1359,1685,2400,no_exam,no_exam,no_exam,no_exam,no_exam
1652,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1460,1476,1960,2024,2027,no_exam,no_exam,no_exam,no_exam,no_exam
1092,1673,1911,2023,2155,no_exam,no_exam,no_exam,no_exam,no_exam
0153,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0575,0637,1678,1847,1979,no_exam,no_exam,no_exam,no_exam,no_exam
0396,1570,1753,1755,1907,1937,no_exam,no_exam,no_exam,no_exam
0684,1234,1384,2176,2178,no_exam,no_exam,no_exam,no_exam,no_exam
0571,1680,1853,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0305,0308,0309,1675,1805,2024,no_exam,no_exam,no_exam,no_exam
0267,0273,0274,0310,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
2053,2054,2062,2064,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0223,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0391,1470,1686,1787,1853,no_exam,no_exam,no_exam,no_exam,no_exam
0541,0772,1673,1911,2249,no_exam,no_exam,no_exam,no_exam,no_exam
0268,0575,1015,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam
1820,1826,2415,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0776,0780,0782,0794,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0644,0705,2376,2379,2382,2383,no_exam,no_exam,no_exam,no_exam
1654,1657,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0392,0558,0559,2250,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0225,0386,0573,1072,1685,2400,no_exam,no_exam,no_exam,no_exam
2021,2415,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0468,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0216,0217,1682,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0502,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0124,0251,2316,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0806,1629,1631,1688,2249,no_exam,no_exam,no_exam,no_exam,no_exam
0637,1359,2029,2034,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0132,0714,0722,0725,1359,no_exam,no_exam,no_exam,no_exam,no_exam
0247,1244,1529,1641,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0492,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0677,1231,1577,1943,2089,2391,no_exam,no_exam,no_exam,no_exam
2117,2139,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1180,1204,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0387,0574,0637,1359,1675,no_exam,no_exam,no_exam,no_exam,no_exam
0575,1678,1979,2249,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0322,0323,0324,1963,2088,no_exam,no_exam,no_exam,no_exam,no_exam
0310,0872,1685,1945,2023,2245,no_exam,no_exam,no_exam,no_exam
2131,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0391,1068,1672,1786,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0391,1295,2027,2161,2162,2171,2207,no_exam,no_exam,no_exam
0452,0454,0460,0461,0465,no_exam,no_exam,no_exam,no_exam,no_exam
0394,0581,0582,1686,2262,no_exam,no_exam,no_exam,no_exam,no_exam
0890,0892,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
2210,2216,2224,2232,2245,no_exam,no_exam,no_exam,no_exam,no_exam
0389,1518,1868,2296,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0574,1678,2067,2249,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0677,1528,1533,1534,1537,1805,no_exam,no_exam,no_exam,no_exam
1267,1374,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0264,0265,0266,0637,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0884,1800,1803,1809,1817,no_exam,no_exam,no_exam,no_exam,no_exam
2325,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1500,1505,2274,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0394,0581,0582,2106,2249,no_exam,no_exam,no_exam,no_exam,no_exam
1595,1599,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0387,0574,1096,1685,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1502,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1172,1496,1498,1501,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0503,0772,0776,1786,2207,no_exam,no_exam,no_exam,no_exam,no_exam
0503,1078,1465,2215,2247,no_exam,no_exam,no_exam,no_exam,no_exam
0874,1359,1945,2025,2318,no_exam,no_exam,no_exam,no_exam,no_exam
1526,1527,1534,1630,2097,no_exam,no_exam,no_exam,no_exam,no_exam
0874,0876,0881,0885,2318,no_exam,no_exam,no_exam,no_exam,no_exam
0575,0637,1687,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0923,0941,1853,1920,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0225,0575,0870,1008,1685,2400,no_exam,no_exam,no_exam,no_exam
0267,0273,0274,0310,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0884,1799,1806,1807,1900,no_exam,no_exam,no_exam,no_exam,no_exam
0277,1673,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1560,2327,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1522,1523,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
2080,2093,2096,2219,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0106,0873,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1662,1717,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0385,0575,1016,1677,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
2183,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0505,0637,1790,1796,2318,no_exam,no_exam,no_exam,no_exam,no_exam
0883,1791,1793,1796,1900,2090,no_exam,no_exam,no_exam,no_exam
1505,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0895,1903,1906,2327,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0261,0505,0873,1471,1686,no_exam,no_exam,no_exam,no_exam,no_exam
0393,0637,1043,1685,2207,2317,no_exam,no_exam,no_exam,no_exam
0505,0637,1790,1798,2031,no_exam,no_exam,no_exam,no_exam,no_exam
0575,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0760,0761,1208,1805,1951,2069,2203,no_exam,no_exam,no_exam
0386,0574,1467,1677,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0273,0292,1786,1985,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0246,0426,0579,0580,1688,1986,no_exam,no_exam,no_exam,no_exam
2074,2301,2306,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0812,0813,0819,1940,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1477,1491,2050,2224,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0429,0430,0436,0440,1838,2188,no_exam,no_exam,no_exam,no_exam
1327,1337,1338,2106,2245,no_exam,no_exam,no_exam,no_exam,no_exam
0467,0478,2327,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0212,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0050,0066,0096,0261,1095,no_exam,no_exam,no_exam,no_exam,no_exam
2074,2225,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0740,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0401,0410,0412,1489,1985,no_exam,no_exam,no_exam,no_exam,no_exam
0467,0477,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0491,0500,0501,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1796,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0254,0255,1459,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0885,2038,2039,2042,2050,2052,no_exam,no_exam,no_exam,no_exam
0310,0900,1155,1464,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0386,0573,1087,1686,2071,no_exam,no_exam,no_exam,no_exam,no_exam
2010,2012,2015,2017,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1720,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1005,1488,1673,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0017,0022,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0095,0637,0642,0654,2249,no_exam,no_exam,no_exam,no_exam,no_exam
0156,1162,1798,1803,2287,no_exam,no_exam,no_exam,no_exam,no_exam
0391,0550,1010,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0692,1173,1216,1460,2316,no_exam,no_exam,no_exam,no_exam,no_exam
1460,2089,2249,2316,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0841,0842,0858,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0575,0637,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0901,1446,1912,1921,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0370,0374,1281,1316,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0617,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0895,1903,1906,2327,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1544,1799,1803,1900,1964,no_exam,no_exam,no_exam,no_exam,no_exam
0637,0752,1758,1759,1762,no_exam,no_exam,no_exam,no_exam,no_exam
0575,1017,1678,1847,1979,no_exam,no_exam,no_exam,no_exam,no_exam
0153,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0512,0809,1478,1678,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1175,1469,1685,1865,2207,no_exam,no_exam,no_exam,no_exam,no_exam
0637,0873,1120,1359,1686,no_exam,no_exam,no_exam,no_exam,no_exam
1261,1264,1267,1269,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1469,1685,1865,2022,2029,2207,no_exam,no_exam,no_exam,no_exam
0806,0809,1687,2187,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0390,1156,1189,1461,1981,no_exam,no_exam,no_exam,no_exam,no_exam
0147,0660,0707,1805,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0887,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0539,0748,1297,2316,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0575,1678,1979,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
2313,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1233,1475,1491,1801,1809,no_exam,no_exam,no_exam,no_exam,no_exam
2015,2016,2017,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0909,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0357,0359,0361,0364,0637,0868,no_exam,no_exam,no_exam,no_exam
1168,1786,2175,2176,2178,2179,no_exam,no_exam,no_exam,no_exam
