exam1,exam2,exam3,exam4,exam5,exam6,exam7
0145,0146,0148,0151,no_exam,no_exam,no_exam
0047,0048,0049,0050,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0120,0121,0123,0124,no_exam,no_exam,no_exam
0077,0078,0079,0080,no_exam,no_exam,no_exam
0112,0113,0139,0170,no_exam,no_exam,no_exam
0086,0158,0162,no_exam,no_exam,no_exam,no_exam
0004,0007,0091,no_exam,no_exam,no_exam,no_exam
0059,0061,0062,0120,no_exam,no_exam,no_exam
0034,0035,0165,0182,no_exam,no_exam,no_exam
0129,0154,0160,0162,no_exam,no_exam,no_exam
0087,0091,0096,no_exam,no_exam,no_exam,no_exam
0033,0042,0061,no_exam,no_exam,no_exam,no_exam
0033,0036,no_exam,no_exam,no_exam,no_exam,no_exam
0077,0078,0079,0081,no_exam,no_exam,no_exam
0090,0092,0094,0097,no_exam,no_exam,no_exam
0087,0089,0096,no_exam,no_exam,no_exam,no_exam
0076,0131,0141,0142,0144,no_exam,no_exam
0056,0059,0061,no_exam,no_exam,no_exam,no_exam
0037,0038,0039,no_exam,no_exam,no_exam,no_exam
0031,0033,0039,no_exam,no_exam,no_exam,no_exam
0031,0033,0129,no_exam,no_exam,no_exam,no_exam
0086,0120,0122,no_exam,no_exam,no_exam,no_exam
0154,0158,0160,0162,no_exam,no_exam,no_exam
0023,0024,0031,0033,no_exam,no_exam,no_exam
0145,0146,0148,0151,0152,no_exam,no_exam
0077,0078,0079,0080,0081,no_exam,no_exam
0057,0059,0060,0061,no_exam,no_exam,no_exam
0001,0002,0003,0065,no_exam,no_exam,no_exam
0056,0061,0062,no_exam,no_exam,no_exam,no_exam
0152,0154,0158,0162,no_exam,no_exam,no_exam
0087,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0148,0158,0160,0162,no_exam,no_exam,no_exam
0036,0090,0093,0095,no_exam,no_exam,no_exam
0093,0095,0097,no_exam,no_exam,no_exam,no_exam
0068,0108,0134,0137,0167,no_exam,no_exam
0031,0033,0038,no_exam,no_exam,no_exam,no_exam
0129,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0129,0160,0162,no_exam,no_exam,no_exam,no_exam
0034,0035,0163,no_exam,no_exam,no_exam,no_exam
0025,0026,no_exam,no_exam,no_exam,no_exam,no_exam
0118,0129,0154,0160,0162,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0088,0089,0093,0094,no_exam,no_exam,no_exam
0036,0120,0121,0122,0123,no_exam,no_exam
0092,0093,0094,0096,no_exam,no_exam,no_exam
0030,0149,0172,0173,0175,no_exam,no_exam
0129,0159,0160,0162,no_exam,no_exam,no_exam
0056,0060,0061,0062,no_exam,no_exam,no_exam
0090,0093,0094,no_exam,no_exam,no_exam,no_exam
0031,0033,0039,no_exam,no_exam,no_exam,no_exam
0056,0058,0059,no_exam,no_exam,no_exam,no_exam
0056,0060,0061,0062,no_exam,no_exam,no_exam
0064,0131,0168,0169,0183,no_exam,no_exam
0129,0160,0162,no_exam,no_exam,no_exam,no_exam
0090,0091,0180,no_exam,no_exam,no_exam,no_exam
0033,0036,no_exam,no_exam,no_exam,no_exam,no_exam
0022,0023,0024,0026,no_exam,no_exam,no_exam
0057,0059,0061,0062,no_exam,no_exam,no_exam
0036,0077,0093,0095,0096,no_exam,no_exam
0008,0067,0107,0136,no_exam,no_exam,no_exam
0056,0058,0059,0062,no_exam,no_exam,no_exam
0047,0048,0049,0050,no_exam,no_exam,no_exam
0031,0033,0043,no_exam,no_exam,no_exam,no_exam
0086,0158,0159,0162,no_exam,no_exam,no_exam
0093,0095,0097,no_exam,no_exam,no_exam,no_exam
0120,0121,0122,0123,no_exam,no_exam,no_exam
0120,0121,0122,0123,no_exam,no_exam,no_exam
0149,0175,no_exam,no_exam,no_exam,no_exam,no_exam
0129,0154,0160,0162,no_exam,no_exam,no_exam
0129,0158,0162,0164,no_exam,no_exam,no_exam
0086,0129,0154,no_exam,no_exam,no_exam,no_exam
0129,0154,0158,no_exam,no_exam,no_exam,no_exam
0077,0078,0079,0080,no_exam,no_exam,no_exam
0115,0129,0154,0160,0162,no_exam,no_exam
0152,0154,0158,0162,no_exam,no_exam,no_exam
0129,0153,0154,0162,no_exam,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0086,0129,0162,no_exam,no_exam,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0051,0052,0053,0054,no_exam,no_exam,no_exam
0127,0178,0179,0180,no_exam,no_exam,no_exam
0056,0059,0061,no_exam,no_exam,no_exam,no_exam
0056,0059,0061,0062,no_exam,no_exam,no_exam
0154,0160,0162,no_exam,no_exam,no_exam,no_exam
0161,0162,0165,0166,no_exam,no_exam,no_exam
0036,0161,0162,0165,no_exam,no_exam,no_exam
0065,0082,0083,0084,no_exam,no_exam,no_exam
0077,0078,0079,0080,no_exam,no_exam,no_exam
0076,0131,0141,0142,0144,no_exam,no_exam
0022,0023,0024,0026,0028,no_exam,no_exam
0118,0129,0153,0154,0162,no_exam,no_exam
0090,0091,0092,0180,no_exam,no_exam,no_exam
0077,0078,0079,0080,0081,no_exam,no_exam
0093,0095,0097,0098,no_exam,no_exam,no_exam
0090,0092,0096,0098,no_exam,no_exam,no_exam
0056,0060,0061,no_exam,no_exam,no_exam,no_exam
0031,0033,no_exam,no_exam,no_exam,no_exam,no_exam
0033,0061,no_exam,no_exam,no_exam,no_exam,no_exam
0022,0023,0024,0026,no_exam,no_exam,no_exam
0047,0048,0049,0050,no_exam,no_exam,no_exam
0004,0005,0007,0147,no_exam,no_exam,no_exam
0086,0154,0158,no_exam,no_exam,no_exam,no_exam
0037,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0120,0121,0123,0124,no_exam,no_exam,no_exam
0031,0033,no_exam,no_exam,no_exam,no_exam,no_exam
0031,0033,0039,no_exam,no_exam,no_exam,no_exam
0031,0033,no_exam,no_exam,no_exam,no_exam,no_exam
0090,0092,0098,0099,no_exam,no_exam,no_exam
0051,0052,0053,0054,no_exam,no_exam,no_exam
0086,0129,0162,no_exam,no_exam,no_exam,no_exam
0056,0061,0062,no_exam,no_exam,no_exam,no_exam
0031,0033,0037,no_exam,no_exam,no_exam,no_exam
0033,0039,no_exam,no_exam,no_exam,no_exam,no_exam
0093,0095,0123,no_exam,no_exam,no_exam,no_exam
0033,0061,no_exam,no_exam,no_exam,no_exam,no_exam
0120,0121,0122,0123,0124,no_exam,no_exam
0036,0053,0055,0106,no_exam,no_exam,no_exam
0086,0145,0146,0148,no_exam,no_exam,no_exam
0087,0094,0096,no_exam,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0030,0149,0172,0173,0175,no_exam,no_exam
0036,0129,0154,0160,no_exam,no_exam,no_exam
0022,0023,0024,0026,0028,no_exam,no_exam
0086,0129,0162,no_exam,no_exam,no_exam,no_exam
0022,0023,0024,0026,0028,no_exam,no_exam
0031,0033,0043,no_exam,no_exam,no_exam,no_exam
0129,0154,0160,0162,no_exam,no_exam,no_exam
0059,0061,0062,no_exam,no_exam,no_exam,no_exam
0089,0090,0094,no_exam,no_exam,no_exam,no_exam
0033,0043,0044,no_exam,no_exam,no_exam,no_exam
0086,0158,0159,0162,no_exam,no_exam,no_exam
0092,0094,0096,0098,no_exam,no_exam,no_exam
0018,0019,0020,no_exam,no_exam,no_exam,no_exam
0031,0033,no_exam,no_exam,no_exam,no_exam,no_exam
0090,0094,0162,no_exam,no_exam,no_exam,no_exam
0086,0145,0146,0148,no_exam,no_exam,no_exam
0057,0060,0061,0062,no_exam,no_exam,no_exam
0129,0160,0162,no_exam,no_exam,no_exam,no_exam
0129,0161,0162,0164,no_exam,no_exam,no_exam
0114,0115,0116,0117,0119,no_exam,no_exam
0092,0093,0097,no_exam,no_exam,no_exam,no_exam
0118,0153,0157,0162,no_exam,no_exam,no_exam
0090,0094,0097,no_exam,no_exam,no_exam,no_exam
0035,0163,0165,no_exam,no_exam,no_exam,no_exam
0181,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0031,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0087,0089,0090,no_exam,no_exam,no_exam,no_exam
0038,0040,no_exam,no_exam,no_exam,no_exam,no_exam
0032,0033,0129,no_exam,no_exam,no_exam,no_exam
0077,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0031,0033,0038,no_exam,no_exam,no_exam,no_exam
0170,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0047,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0129,0160,0162,no_exam,no_exam,no_exam,no_exam
0060,0061,0062,no_exam,no_exam,no_exam,no_exam
0031,0033,no_exam,no_exam,no_exam,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0129,0154,0160,0162,no_exam,no_exam,no_exam
0090,0094,0097,0098,no_exam,no_exam,no_exam
0022,0023,0024,0026,0028,no_exam,no_exam
0087,0089,0090,0094,no_exam,no_exam,no_exam
0088,0090,0091,0094,no_exam,no_exam,no_exam
0087,0089,0090,0096,no_exam,no_exam,no_exam
0033,0106,0179,no_exam,no_exam,no_exam,no_exam
0056,0058,0059,0062,no_exam,no_exam,no_exam
0105,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0036,0157,0160,0162,no_exam,no_exam,no_exam
0031,0033,0037,no_exam,no_exam,no_exam,no_exam
0114,0115,0116,0117,0119,no_exam,no_exam
0043,0044,0067,no_exam,no_exam,no_exam,no_exam
0118,0129,0153,0162,no_exam,no_exam,no_exam
0053,0054,0100,0128,no_exam,no_exam,no_exam
0120,0121,0122,0123,no_exam,no_exam,no_exam
0022,0023,0026,0028,no_exam,no_exam,no_exam
0037,0039,no_exam,no_exam,no_exam,no_exam,no_exam
0060,0061,0062,no_exam,no_exam,no_exam,no_exam
0095,0098,0123,no_exam,no_exam,no_exam,no_exam
0089,0090,0096,no_exam,no_exam,no_exam,no_exam
0056,0060,0061,no_exam,no_exam,no_exam,no_exam
0120,0121,0122,0123,no_exam,no_exam,no_exam
0033,0106,0127,0179,no_exam,no_exam,no_exam
0059,0062,0129,no_exam,no_exam,no_exam,no_exam
0087,0090,0091,0098,no_exam,no_exam,no_exam
0018,0019,0021,0100,no_exam,no_exam,no_exam
0120,0122,0123,no_exam,no_exam,no_exam,no_exam
0158,0160,0162,no_exam,no_exam,no_exam,no_exam
0145,0146,0148,0151,no_exam,no_exam,no_exam
0075,0112,0113,0139,no_exam,no_exam,no_exam
0090,0092,0108,0118,no_exam,no_exam,no_exam
0059,0060,0061,no_exam,no_exam,no_exam,no_exam
0040,0042,0178,0180,no_exam,no_exam,no_exam
0129,0159,0160,0162,no_exam,no_exam,no_exam
0065,0101,0115,0151,0171,no_exam,no_exam
0120,0121,0123,0124,no_exam,no_exam,no_exam
0129,0154,0160,0162,no_exam,no_exam,no_exam
0008,0017,0018,0019,0020,0132,no_exam
0089,0092,0093,no_exam,no_exam,no_exam,no_exam
0004,0005,0007,0091,no_exam,no_exam,no_exam
0031,0033,no_exam,no_exam,no_exam,no_exam,no_exam
0090,0095,0096,no_exam,no_exam,no_exam,no_exam
0088,0093,0095,0097,no_exam,no_exam,no_exam
0120,0122,0123,no_exam,no_exam,no_exam,no_exam
0008,0067,no_exam,no_exam,no_exam,no_exam,no_exam
0057,0060,0062,no_exam,no_exam,no_exam,no_exam
0091,0092,0094,no_exam,no_exam,no_exam,no_exam
0090,0091,0092,0097,0098,no_exam,no_exam
0090,0093,0097,no_exam,no_exam,no_exam,no_exam
0033,0038,0042,no_exam,no_exam,no_exam,no_exam
0004,0005,0007,no_exam,no_exam,no_exam,no_exam
0033,0042,no_exam,no_exam,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0001,0002,0003,0065,no_exam,no_exam,no_exam
0120,0122,0123,no_exam,no_exam,no_exam,no_exam
0022,0023,0024,0026,0028,no_exam,no_exam
0145,0146,0148,0151,no_exam,no_exam,no_exam
0129,0160,0162,no_exam,no_exam,no_exam,no_exam
0087,0091,0096,no_exam,no_exam,no_exam,no_exam
0036,0059,0060,0062,0086,no_exam,no_exam
0091,0092,0096,0098,no_exam,no_exam,no_exam
0145,0146,0148,0151,no_exam,no_exam,no_exam
0131,0145,0146,0148,0151,no_exam,no_exam
0057,0061,0062,no_exam,no_exam,no_exam,no_exam
0149,0172,0173,0175,0176,0177,no_exam
0059,0060,0062,0129,no_exam,no_exam,no_exam
0148,0160,no_exam,no_exam,no_exam,no_exam,no_exam
0033,0129,no_exam,no_exam,no_exam,no_exam,no_exam
0129,0154,0160,0162,no_exam,no_exam,no_exam
0076,0086,0145,0146,0148,no_exam,no_exam
0114,0115,0116,0117,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0089,0090,0091,0096,0123,no_exam,no_exam
0087,0088,0093,0099,no_exam,no_exam,no_exam
0056,0061,0062,no_exam,no_exam,no_exam,no_exam
0004,0005,0006,0007,no_exam,no_exam,no_exam
0056,0061,0062,no_exam,no_exam,no_exam,no_exam
0033,0040,no_exam,no_exam,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0047,0048,0049,0050,no_exam,no_exam,no_exam
0056,0061,0062,no_exam,no_exam,no_exam,no_exam
0114,0115,0116,0117,no_exam,no_exam,no_exam
0086,0129,0154,0162,no_exam,no_exam,no_exam
0001,0002,0003,no_exam,no_exam,no_exam,no_exam
0057,0061,0062,no_exam,no_exam,no_exam,no_exam
0093,0095,0097,no_exam,no_exam,no_exam,no_exam
0033,0038,0040,no_exam,no_exam,no_exam,no_exam
0122,0123,no_exam,no_exam,no_exam,no_exam,no_exam
0031,0033,0037,no_exam,no_exam,no_exam,no_exam
0129,0160,0162,no_exam,no_exam,no_exam,no_exam
0118,0129,0159,0162,no_exam,no_exam,no_exam
0086,0129,0154,0162,no_exam,no_exam,no_exam
0086,0129,0154,0162,no_exam,no_exam,no_exam
0004,0005,0006,0007,no_exam,no_exam,no_exam
0086,0145,0146,0148,0151,no_exam,no_exam
0129,0154,0162,0166,no_exam,no_exam,no_exam
0030,0149,0172,0173,0175,no_exam,no_exam
0087,0089,0090,0091,no_exam,no_exam,no_exam
0030,0149,0172,0173,0175,no_exam,no_exam
0120,0121,0122,0123,no_exam,no_exam,no_exam
0082,0093,0095,0097,no_exam,no_exam,no_exam
0087,0090,0091,0098,no_exam,no_exam,no_exam
0094,0097,0181,no_exam,no_exam,no_exam,no_exam
0006,0161,no_exam,no_exam,no_exam,no_exam,no_exam
0100,0145,0146,0148,0151,no_exam,no_exam
0090,0091,0092,0099,no_exam,no_exam,no_exam
0114,0115,0116,0117,0119,no_exam,no_exam
0118,0129,0154,0162,no_exam,no_exam,no_exam
0015,0077,0090,0091,0094,0096,no_exam
0033,0043,no_exam,no_exam,no_exam,no_exam,no_exam
0120,0122,0123,no_exam,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0001,0002,0003,no_exam,no_exam,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0086,0100,0145,0146,0148,no_exam,no_exam
0090,0091,0098,no_exam,no_exam,no_exam,no_exam
0056,0058,0062,no_exam,no_exam,no_exam,no_exam
0033,0040,no_exam,no_exam,no_exam,no_exam,no_exam
0090,0091,0096,0099,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0001,0002,0003,0065,no_exam,no_exam,no_exam
0069,0070,0071,0072,0073,no_exam,no_exam
0061,0062,0086,no_exam,no_exam,no_exam,no_exam
0036,0120,0121,0123,no_exam,no_exam,no_exam
0036,0154,0160,0162,no_exam,no_exam,no_exam
0065,0082,no_exam,no_exam,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0114,0115,0116,0117,0119,no_exam,no_exam
0056,0059,0061,no_exam,no_exam,no_exam,no_exam
0031,0033,0061,no_exam,no_exam,no_exam,no_exam
0108,0120,0121,0124,no_exam,no_exam,no_exam
0093,0095,0097,no_exam,no_exam,no_exam,no_exam
0056,0059,0061,no_exam,no_exam,no_exam,no_exam
0056,0058,0061,0062,no_exam,no_exam,no_exam
0088,0090,0091,0098,no_exam,no_exam,no_exam
0157,0159,0162,no_exam,no_exam,no_exam,no_exam
0008,0040,0178,0180,no_exam,no_exam,no_exam
0091,0092,0096,0098,no_exam,no_exam,no_exam
0129,0153,0154,0162,no_exam,no_exam,no_exam
0064,0108,0131,0168,0169,no_exam,no_exam
0059,0061,0062,0086,no_exam,no_exam,no_exam
0004,0005,0007,no_exam,no_exam,no_exam,no_exam
0004,0005,0007,0086,no_exam,no_exam,no_exam
0048,0064,0108,0143,no_exam,no_exam,no_exam
0118,0129,0159,0160,no_exam,no_exam,no_exam
0065,0082,no_exam,no_exam,no_exam,no_exam,no_exam
0090,0091,0092,0123,no_exam,no_exam,no_exam
0056,0059,0061,0062,no_exam,no_exam,no_exam
0120,0121,0122,0123,0124,no_exam,no_exam
0129,0160,0162,no_exam,no_exam,no_exam,no_exam
0129,0160,0162,no_exam,no_exam,no_exam,no_exam
0076,0131,0141,0142,0144,no_exam,no_exam
0077,0078,0079,0080,no_exam,no_exam,no_exam
0090,0091,0092,no_exam,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0145,0146,0148,0151,0160,no_exam,no_exam
0059,0062,0086,0104,no_exam,no_exam,no_exam
0090,0091,0092,0099,no_exam,no_exam,no_exam
0053,0055,0101,0106,no_exam,no_exam,no_exam
0129,0162,0165,no_exam,no_exam,no_exam,no_exam
0012,0122,0123,no_exam,no_exam,no_exam,no_exam
0064,0158,0159,0160,0162,no_exam,no_exam
0154,0157,0161,0162,no_exam,no_exam,no_exam
0032,0033,no_exam,no_exam,no_exam,no_exam,no_exam
0036,0093,0097,no_exam,no_exam,no_exam,no_exam
0010,0086,0120,0122,0123,no_exam,no_exam
0065,0082,0085,no_exam,no_exam,no_exam,no_exam
0056,0058,0059,0062,no_exam,no_exam,no_exam
0088,0090,0096,0099,no_exam,no_exam,no_exam
0006,0034,0035,0163,no_exam,no_exam,no_exam
0145,0146,0148,0151,0153,no_exam,no_exam
0154,0162,0165,no_exam,no_exam,no_exam,no_exam
0122,0123,no_exam,no_exam,no_exam,no_exam,no_exam
0076,0131,0141,0142,0144,no_exam,no_exam
0093,0094,0097,0098,0099,no_exam,no_exam
0086,0154,0158,0162,no_exam,no_exam,no_exam
0056,0060,0061,0062,no_exam,no_exam,no_exam
0048,0064,0143,no_exam,no_exam,no_exam,no_exam
0004,0005,0006,0007,no_exam,no_exam,no_exam
0090,0096,0108,0123,no_exam,no_exam,no_exam
0033,0043,no_exam,no_exam,no_exam,no_exam,no_exam
0087,0090,0091,0180,no_exam,no_exam,no_exam
0129,0140,0153,0154,0162,no_exam,no_exam
0129,0154,0160,0162,no_exam,no_exam,no_exam
0114,0115,0116,0117,no_exam,no_exam,no_exam
0056,0061,0062,0086,no_exam,no_exam,no_exam
0063,0074,0138,0184,no_exam,no_exam,no_exam
0086,0145,0146,0148,0151,no_exam,no_exam
0152,0157,0159,0162,no_exam,no_exam,no_exam
0030,0149,0172,0173,0175,no_exam,no_exam
0086,0129,0154,0162,no_exam,no_exam,no_exam
0015,0120,0121,0122,0124,no_exam,no_exam
0077,0078,0079,0080,0081,no_exam,no_exam
0129,0153,0162,0164,no_exam,no_exam,no_exam
0006,0034,0035,0182,no_exam,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0042,0043,0044,no_exam,no_exam,no_exam,no_exam
0078,0091,no_exam,no_exam,no_exam,no_exam,no_exam
0120,0122,0123,no_exam,no_exam,no_exam,no_exam
0120,0122,0123,no_exam,no_exam,no_exam,no_exam
0031,0033,0038,no_exam,no_exam,no_exam,no_exam
0053,0055,0106,0143,no_exam,no_exam,no_exam
0152,0154,0158,0161,0162,no_exam,no_exam
0057,0059,0061,0062,no_exam,no_exam,no_exam
0087,0091,no_exam,no_exam,no_exam,no_exam,no_exam
0120,0121,0122,0123,0124,no_exam,no_exam
0108,0129,0154,0160,0162,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0056,0059,0061,0062,no_exam,no_exam,no_exam
0065,0082,no_exam,no_exam,no_exam,no_exam,no_exam
0077,0078,0079,0080,no_exam,no_exam,no_exam
0120,0121,0122,0123,0124,no_exam,no_exam
0088,0090,0092,0093,0098,no_exam,no_exam
0090,0091,0092,0098,no_exam,no_exam,no_exam
0008,0040,0136,0178,0180,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0003,0006,0163,no_exam,no_exam,no_exam,no_exam
0036,0100,0121,0122,0123,no_exam,no_exam
0081,0090,0092,0097,0098,no_exam,no_exam
0129,0154,0162,no_exam,no_exam,no_exam,no_exam
0145,0146,0148,0151,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0022,0023,0024,0026,0028,no_exam,no_exam
0086,0114,0115,0116,0117,no_exam,no_exam
0022,0023,0024,0026,0028,no_exam,no_exam
0030,0149,0172,0173,0175,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0154,0157,0161,0162,no_exam,no_exam,no_exam
0077,0078,0079,0080,no_exam,no_exam,no_exam
0087,0089,0090,0091,no_exam,no_exam,no_exam
0087,0091,0096,no_exam,no_exam,no_exam,no_exam
0008,0067,no_exam,no_exam,no_exam,no_exam,no_exam
0093,0095,0097,no_exam,no_exam,no_exam,no_exam
0056,0057,0060,0062,no_exam,no_exam,no_exam
0015,0090,0091,0092,0096,no_exam,no_exam
0093,0095,0097,no_exam,no_exam,no_exam,no_exam
