exam1,exam2,exam3,exam4,exam5,exam6,exam7,exam8,exam9,exam10,exam11
0302,0420,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0071,0169,0321,0439,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0353,0354,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0188,0189,0190,0191,0192,0205,no_exam,no_exam,no_exam,no_exam,no_exam
0353,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0166,0474,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0132,0239,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0024,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0151,0152,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0003,0066,0315,0355,0416,0432,no_exam,no_exam,no_exam,no_exam,no_exam
0023,0024,0030,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0394,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0067,0069,0070,0317,0404,0434,no_exam,no_exam,no_exam,no_exam,no_exam
0024,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0317,0415,0416,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0064,0408,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0032,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0143,0144,0150,0288,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0354,0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,0393,0420,0430,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0387,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0301,0302,0334,0342,0426,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0206,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0353,0354,0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0066,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0354,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0167,0429,0437,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0294,0296,0297,0298,0299,0300,0303,0336,0374,no_exam,no_exam
0201,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0207,0387,0389,0390,0407,0430,no_exam,no_exam,no_exam,no_exam,no_exam
0090,0146,0306,0310,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0205,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0152,0412,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0462,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0003,0318,0349,0431,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0026,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0409,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0206,0207,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0003,0157,0243,0356,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0075,0076,0077,0078,0079,0080,0288,no_exam,no_exam,no_exam,no_exam
0358,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0424,0429,0474,0484,0485,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0001,0065,0157,0315,0344,0355,no_exam,no_exam,no_exam,no_exam,no_exam
0020,0021,0022,0341,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0358,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0246,0319,0346,0356,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0139,0140,0141,0142,0369,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0208,0459,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0353,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0246,0453,0454,0455,0456,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0042,0043,0044,0045,0046,0047,0119,no_exam,no_exam,no_exam,no_exam
0354,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0207,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0283,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0388,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0073,0079,0166,0246,0333,0363,0395,no_exam,no_exam,no_exam,no_exam
0023,0024,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0075,0076,0077,0079,0288,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0358,0439,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0314,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,0388,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0296,0297,0298,0299,0300,0303,0336,0374,no_exam,no_exam,no_exam
0462,0464,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0312,0313,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0462,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0178,0182,0288,0417,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0032,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0463,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0424,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0419,0460,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0023,0024,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0032,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0415,0433,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0167,0353,0437,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0463,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0003,0068,0319,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0207,0443,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0092,0130,0218,0355,0415,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0023,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0155,0415,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0320,0348,0352,0353,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0004,0320,0353,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0424,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0191,0192,0420,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0223,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0032,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0463,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0463,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0419,0424,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0031,0032,0036,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0024,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0032,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0354,0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0354,0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0460,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0092,0130,0218,0282,0355,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0065,0157,0315,0344,0355,0431,no_exam,no_exam,no_exam,no_exam,no_exam
0425,0461,0463,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0429,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0158,0226,0468,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0012,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0460,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0171,0329,0332,0338,0341,0343,0373,no_exam,no_exam,no_exam,no_exam
0419,0424,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0087,0221,0223,0224,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0213,0322,0352,0354,0438,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0114,0366,0368,0398,0426,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0206,0385,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0155,0207,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0116,0292,0293,0294,0324,0334,0373,no_exam,no_exam,no_exam,no_exam
0011,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0386,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0184,0185,0186,0187,0372,0397,no_exam,no_exam,no_exam,no_exam,no_exam
0281,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0358,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0341,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0375,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0006,0008,0346,0347,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0160,0268,0278,0440,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0480,0481,0482,0483,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0144,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0462,0464,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0010,0215,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0411,0425,0461,0463,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0189,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0168,0169,0352,0439,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0087,0160,0221,0224,0351,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0111,0188,0189,0190,0191,0192,0246,no_exam,no_exam,no_exam,no_exam
0010,0011,0213,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0026,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0028,0031,0032,0034,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0162,0205,0216,0435,0436,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0215,0350,0358,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0087,0223,0225,0351,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0012,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0275,0279,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0285,0288,0332,0341,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0071,0169,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0232,0476,0486,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0107,0223,0225,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0193,0194,0198,0201,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0463,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0066,0268,0275,0278,0439,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0348,0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0244,0245,0288,0421,0423,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0060,0061,0062,0227,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0132,0223,0225,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0010,0011,0013,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0387,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0216,0321,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0004,0215,0322,0434,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0320,0352,0353,0354,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0385,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0208,0329,0339,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0167,0169,0205,0437,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0386,0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0181,0182,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0476,0485,0486,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0121,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0020,0021,0022,0208,0341,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0429,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0228,0352,0353,0354,0438,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0213,0346,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0414,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0205,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0010,0011,0168,0322,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0012,0321,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0268,0273,0278,0429,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0010,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0297,0375,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0167,0169,0437,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0207,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0132,0218,0425,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0460,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0121,0125,0128,0129,0375,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0167,0348,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0193,0195,0198,0200,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0193,0195,0198,0199,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0216,0356,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0385,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0457,0458,0459,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,0386,0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0085,0172,0291,0323,0324,0361,no_exam,no_exam,no_exam,no_exam,no_exam
0160,0242,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0068,0214,0266,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0012,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0207,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0420,0423,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0206,0222,0224,0238,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0008,0216,0284,0346,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0268,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0009,0203,0215,0345,0433,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0004,0214,0349,0432,0440,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0071,0358,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0195,0198,0200,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0001,0214,0344,0355,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0390,0430,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0020,0021,0022,0338,0373,0429,no_exam,no_exam,no_exam,no_exam,no_exam
0387,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0193,0194,0198,0199,0288,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0005,0010,0215,0434,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0322,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0018,0202,0289,0376,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0032,0034,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0420,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0394,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,0386,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0001,0211,0212,0228,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0023,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0071,0321,0346,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0205,0317,0345,0347,0350,0434,no_exam,no_exam,no_exam,no_exam,no_exam
0180,0181,0182,0421,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0474,0481,0484,0485,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0065,0157,0315,0344,0355,0431,0440,no_exam,no_exam,no_exam,no_exam
0354,0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0007,0008,0068,0229,0319,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0282,0315,0404,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0282,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0004,0008,0009,0068,0349,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0115,0183,0360,0365,0395,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0207,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0117,0118,0120,0173,0371,0426,no_exam,no_exam,no_exam,no_exam,no_exam
0174,0176,0177,0282,0418,0419,0424,no_exam,no_exam,no_exam,no_exam
